Network,m,beta,mu,SteadyState
graphs/BA-1000.adjlist,0,0.08,1,0.0
graphs/BA-1000.adjlist,0,0.085,1,0.0
graphs/BA-1000.adjlist,0,0.09,1,0.0
graphs/BA-1000.adjlist,0,0.095,1,0.0
graphs/BA-1000.adjlist,0,0.1,1,0.0
graphs/BA-1000.adjlist,0,0.105,1,0.0
graphs/BA-1000.adjlist,0,0.11,1,0.0
graphs/BA-1000.adjlist,0,0.115,1,0.0
graphs/BA-1000.adjlist,0,0.12,1,0.0003
graphs/BA-1000.adjlist,0,0.125,1,0.003
graphs/BA-1000.adjlist,0,0.13,1,0.0068
graphs/BA-1000.adjlist,0,0.135,1,0.0188
graphs/BA-1000.adjlist,0,0.14,1,0.0314
graphs/BA-1000.adjlist,0,0.145,1,0.0441
graphs/BA-1000.adjlist,0,0.15,1,0.0487
graphs/BA-1000.adjlist,0,0.155,1,0.0573
graphs/BA-1000.adjlist,0,0.16,1,0.0639
graphs/BA-1000.adjlist,0,0.165,1,0.0715
graphs/BA-1000.adjlist,0,0.17,1,0.0757
graphs/BA-1000.adjlist,0,0.175,1,0.0839
graphs/BA-1000.adjlist,0,0.18,1,0.0922
graphs/BA-1000.adjlist,0,0.185,1,0.0973
graphs/BA-1000.adjlist,0,0.19,1,0.1026
graphs/BA-1000.adjlist,0,0.195,1,0.1091
graphs/BA-1000.adjlist,1,0.08,1,0.0
graphs/BA-1000.adjlist,1,0.085,1,0.0
graphs/BA-1000.adjlist,1,0.09,1,0.0
graphs/BA-1000.adjlist,1,0.095,1,0.0
graphs/BA-1000.adjlist,1,0.1,1,0.0
graphs/BA-1000.adjlist,1,0.105,1,0.0
graphs/BA-1000.adjlist,1,0.11,1,0.0
graphs/BA-1000.adjlist,1,0.115,1,0.0001
graphs/BA-1000.adjlist,1,0.12,1,0.0015
graphs/BA-1000.adjlist,1,0.125,1,0.0026
graphs/BA-1000.adjlist,1,0.13,1,0.0135
graphs/BA-1000.adjlist,1,0.135,1,0.0227
graphs/BA-1000.adjlist,1,0.14,1,0.0342
graphs/BA-1000.adjlist,1,0.145,1,0.0457
graphs/BA-1000.adjlist,1,0.15,1,0.0549
graphs/BA-1000.adjlist,1,0.155,1,0.0601
graphs/BA-1000.adjlist,1,0.16,1,0.0684
graphs/BA-1000.adjlist,1,0.165,1,0.0762
graphs/BA-1000.adjlist,1,0.17,1,0.0814
graphs/BA-1000.adjlist,1,0.175,1,0.0894
graphs/BA-1000.adjlist,1,0.18,1,0.0965
graphs/BA-1000.adjlist,1,0.185,1,0.1034
graphs/BA-1000.adjlist,1,0.19,1,0.1104
graphs/BA-1000.adjlist,1,0.195,1,0.1156
graphs/BA-1000.adjlist,2,0.08,1,0.0
graphs/BA-1000.adjlist,2,0.085,1,0.0
graphs/BA-1000.adjlist,2,0.09,1,0.0
graphs/BA-1000.adjlist,2,0.095,1,0.0
graphs/BA-1000.adjlist,2,0.1,1,0.0
graphs/BA-1000.adjlist,2,0.105,1,0.0
graphs/BA-1000.adjlist,2,0.11,1,0.0
graphs/BA-1000.adjlist,2,0.115,1,0.0005
graphs/BA-1000.adjlist,2,0.12,1,0.0014
graphs/BA-1000.adjlist,2,0.125,1,0.0053
graphs/BA-1000.adjlist,2,0.13,1,0.0176
graphs/BA-1000.adjlist,2,0.135,1,0.0281
graphs/BA-1000.adjlist,2,0.14,1,0.0378
graphs/BA-1000.adjlist,2,0.145,1,0.0515
graphs/BA-1000.adjlist,2,0.15,1,0.0596
graphs/BA-1000.adjlist,2,0.155,1,0.0658
graphs/BA-1000.adjlist,2,0.16,1,0.0736
graphs/BA-1000.adjlist,2,0.165,1,0.0817
graphs/BA-1000.adjlist,2,0.17,1,0.0882
graphs/BA-1000.adjlist,2,0.175,1,0.096
graphs/BA-1000.adjlist,2,0.18,1,0.1037
graphs/BA-1000.adjlist,2,0.185,1,0.1089
graphs/BA-1000.adjlist,2,0.19,1,0.1166
graphs/BA-1000.adjlist,2,0.195,1,0.1227
graphs/BA-1000.adjlist,3,0.08,1,0.0
graphs/BA-1000.adjlist,3,0.085,1,0.0
graphs/BA-1000.adjlist,3,0.09,1,0.0
graphs/BA-1000.adjlist,3,0.095,1,0.0
graphs/BA-1000.adjlist,3,0.1,1,0.0
graphs/BA-1000.adjlist,3,0.105,1,0.0
graphs/BA-1000.adjlist,3,0.11,1,0.0
graphs/BA-1000.adjlist,3,0.115,1,0.0006
graphs/BA-1000.adjlist,3,0.12,1,0.0021
graphs/BA-1000.adjlist,3,0.125,1,0.0072
graphs/BA-1000.adjlist,3,0.13,1,0.0227
graphs/BA-1000.adjlist,3,0.135,1,0.0359
graphs/BA-1000.adjlist,3,0.14,1,0.0479
graphs/BA-1000.adjlist,3,0.145,1,0.0552
graphs/BA-1000.adjlist,3,0.15,1,0.0631
graphs/BA-1000.adjlist,3,0.155,1,0.0719
graphs/BA-1000.adjlist,3,0.16,1,0.0771
graphs/BA-1000.adjlist,3,0.165,1,0.0849
graphs/BA-1000.adjlist,3,0.17,1,0.0936
graphs/BA-1000.adjlist,3,0.175,1,0.0989
graphs/BA-1000.adjlist,3,0.18,1,0.1089
graphs/BA-1000.adjlist,3,0.185,1,0.1158
graphs/BA-1000.adjlist,3,0.19,1,0.1235
graphs/BA-1000.adjlist,3,0.195,1,0.1313
graphs/BA-1000.adjlist,4,0.08,1,0.0
graphs/BA-1000.adjlist,4,0.085,1,0.0
graphs/BA-1000.adjlist,4,0.09,1,0.0
graphs/BA-1000.adjlist,4,0.095,1,0.0
graphs/BA-1000.adjlist,4,0.1,1,0.0
graphs/BA-1000.adjlist,4,0.105,1,0.0
graphs/BA-1000.adjlist,4,0.11,1,0.0001
graphs/BA-1000.adjlist,4,0.115,1,0.0008
graphs/BA-1000.adjlist,4,0.12,1,0.0046
graphs/BA-1000.adjlist,4,0.125,1,0.0114
graphs/BA-1000.adjlist,4,0.13,1,0.027
graphs/BA-1000.adjlist,4,0.135,1,0.0396
graphs/BA-1000.adjlist,4,0.14,1,0.0515
graphs/BA-1000.adjlist,4,0.145,1,0.0616
graphs/BA-1000.adjlist,4,0.15,1,0.067
graphs/BA-1000.adjlist,4,0.155,1,0.077
graphs/BA-1000.adjlist,4,0.16,1,0.0839
graphs/BA-1000.adjlist,4,0.165,1,0.0932
graphs/BA-1000.adjlist,4,0.17,1,0.101
graphs/BA-1000.adjlist,4,0.175,1,0.1072
graphs/BA-1000.adjlist,4,0.18,1,0.1156
graphs/BA-1000.adjlist,4,0.185,1,0.1226
graphs/BA-1000.adjlist,4,0.19,1,0.129
graphs/BA-1000.adjlist,4,0.195,1,0.1368
graphs/BA-1000.adjlist,5,0.08,1,0.0
graphs/BA-1000.adjlist,5,0.085,1,0.0
graphs/BA-1000.adjlist,5,0.09,1,0.0
graphs/BA-1000.adjlist,5,0.095,1,0.0
graphs/BA-1000.adjlist,5,0.1,1,0.0
graphs/BA-1000.adjlist,5,0.105,1,0.0
graphs/BA-1000.adjlist,5,0.11,1,0.0001
graphs/BA-1000.adjlist,5,0.115,1,0.001
graphs/BA-1000.adjlist,5,0.12,1,0.0047
graphs/BA-1000.adjlist,5,0.125,1,0.0177
graphs/BA-1000.adjlist,5,0.13,1,0.0321
graphs/BA-1000.adjlist,5,0.135,1,0.0457
graphs/BA-1000.adjlist,5,0.14,1,0.0549
graphs/BA-1000.adjlist,5,0.145,1,0.0654
graphs/BA-1000.adjlist,5,0.15,1,0.0719
graphs/BA-1000.adjlist,5,0.155,1,0.0793
graphs/BA-1000.adjlist,5,0.16,1,0.0908
graphs/BA-1000.adjlist,5,0.165,1,0.0989
graphs/BA-1000.adjlist,5,0.17,1,0.1043
graphs/BA-1000.adjlist,5,0.175,1,0.1121
graphs/BA-1000.adjlist,5,0.18,1,0.1211
graphs/BA-1000.adjlist,5,0.185,1,0.13
graphs/BA-1000.adjlist,5,0.19,1,0.1376
graphs/BA-1000.adjlist,5,0.195,1,0.145
graphs/BA-1000.adjlist,6,0.08,1,0.0
graphs/BA-1000.adjlist,6,0.085,1,0.0
graphs/BA-1000.adjlist,6,0.09,1,0.0
graphs/BA-1000.adjlist,6,0.095,1,0.0
