Network,m,beta,mu,SteadyState
graphs/ER-1000.adjlist,0,0.16,1,0.0
graphs/ER-1000.adjlist,0,0.165,1,0.0
graphs/ER-1000.adjlist,0,0.17,1,0.0
graphs/ER-1000.adjlist,0,0.175,1,0.0
graphs/ER-1000.adjlist,0,0.18,1,0.0
graphs/ER-1000.adjlist,0,0.185,1,0.0
graphs/ER-1000.adjlist,0,0.19,1,0.0003
graphs/ER-1000.adjlist,0,0.195,1,0.0013
graphs/ER-1000.adjlist,0,0.2,1,0.004
graphs/ER-1000.adjlist,0,0.205,1,0.0185
graphs/ER-1000.adjlist,0,0.21,1,0.0348
graphs/ER-1000.adjlist,0,0.215,1,0.0547
graphs/ER-1000.adjlist,0,0.22,1,0.0692
graphs/ER-1000.adjlist,0,0.225,1,0.0821
graphs/ER-1000.adjlist,0,0.23,1,0.0934
graphs/ER-1000.adjlist,0,0.235,1,0.1043
graphs/ER-1000.adjlist,0,0.24,1,0.1148
graphs/ER-1000.adjlist,0,0.245,1,0.1281
graphs/ER-1000.adjlist,0,0.25,1,0.1347
graphs/ER-1000.adjlist,0,0.255,1,0.1474
graphs/ER-1000.adjlist,0,0.26,1,0.1562
graphs/ER-1000.adjlist,0,0.265,1,0.1679
graphs/ER-1000.adjlist,0,0.27,1,0.1752
graphs/ER-1000.adjlist,0,0.275,1,0.1843
graphs/ER-1000.adjlist,0,0.28,1,0.1934
graphs/ER-1000.adjlist,1,0.16,1,0.0
graphs/ER-1000.adjlist,1,0.165,1,0.0
graphs/ER-1000.adjlist,1,0.17,1,0.0
graphs/ER-1000.adjlist,1,0.175,1,0.0
graphs/ER-1000.adjlist,1,0.18,1,0.0
graphs/ER-1000.adjlist,1,0.185,1,0.0002
graphs/ER-1000.adjlist,1,0.19,1,0.0015
graphs/ER-1000.adjlist,1,0.195,1,0.0077
graphs/ER-1000.adjlist,1,0.2,1,0.02
graphs/ER-1000.adjlist,1,0.205,1,0.0396
graphs/ER-1000.adjlist,1,0.21,1,0.0576
graphs/ER-1000.adjlist,1,0.215,1,0.0722
graphs/ER-1000.adjlist,1,0.22,1,0.0855
graphs/ER-1000.adjlist,1,0.225,1,0.0986
graphs/ER-1000.adjlist,1,0.23,1,0.1082
graphs/ER-1000.adjlist,1,0.235,1,0.1225
graphs/ER-1000.adjlist,1,0.24,1,0.1336
graphs/ER-1000.adjlist,1,0.245,1,0.1427
graphs/ER-1000.adjlist,1,0.25,1,0.1552
graphs/ER-1000.adjlist,1,0.255,1,0.1639
graphs/ER-1000.adjlist,1,0.26,1,0.1732
graphs/ER-1000.adjlist,1,0.265,1,0.1825
graphs/ER-1000.adjlist,1,0.27,1,0.1912
graphs/ER-1000.adjlist,1,0.275,1,0.1992
graphs/ER-1000.adjlist,1,0.28,1,0.2059
graphs/ER-1000.adjlist,2,0.16,1,0.0
graphs/ER-1000.adjlist,2,0.165,1,0.0
graphs/ER-1000.adjlist,2,0.17,1,0.0
graphs/ER-1000.adjlist,2,0.175,1,0.0
graphs/ER-1000.adjlist,2,0.18,1,0.0004
graphs/ER-1000.adjlist,2,0.185,1,0.0015
graphs/ER-1000.adjlist,2,0.19,1,0.0067
graphs/ER-1000.adjlist,2,0.195,1,0.0222
graphs/ER-1000.adjlist,2,0.2,1,0.0445
graphs/ER-1000.adjlist,2,0.205,1,0.0604
graphs/ER-1000.adjlist,2,0.21,1,0.0758
graphs/ER-1000.adjlist,2,0.215,1,0.091
graphs/ER-1000.adjlist,2,0.22,1,0.1032
graphs/ER-1000.adjlist,2,0.225,1,0.1158
graphs/ER-1000.adjlist,2,0.23,1,0.1279
graphs/ER-1000.adjlist,2,0.235,1,0.1375
graphs/ER-1000.adjlist,2,0.24,1,0.1479
graphs/ER-1000.adjlist,2,0.245,1,0.1554
graphs/ER-1000.adjlist,2,0.25,1,0.1672
graphs/ER-1000.adjlist,2,0.255,1,0.1769
graphs/ER-1000.adjlist,2,0.26,1,0.1886
graphs/ER-1000.adjlist,2,0.265,1,0.1976
graphs/ER-1000.adjlist,2,0.27,1,0.2061
graphs/ER-1000.adjlist,2,0.275,1,0.2142
graphs/ER-1000.adjlist,2,0.28,1,0.2213
graphs/ER-1000.adjlist,3,0.16,1,0.0
graphs/ER-1000.adjlist,3,0.165,1,0.0
graphs/ER-1000.adjlist,3,0.17,1,0.0
graphs/ER-1000.adjlist,3,0.175,1,0.0003
graphs/ER-1000.adjlist,3,0.18,1,0.0014
graphs/ER-1000.adjlist,3,0.185,1,0.007
graphs/ER-1000.adjlist,3,0.19,1,0.0239
graphs/ER-1000.adjlist,3,0.195,1,0.0504
graphs/ER-1000.adjlist,3,0.2,1,0.0636
graphs/ER-1000.adjlist,3,0.205,1,0.0791
graphs/ER-1000.adjlist,3,0.21,1,0.0933
graphs/ER-1000.adjlist,3,0.215,1,0.1043
graphs/ER-1000.adjlist,3,0.22,1,0.1188
graphs/ER-1000.adjlist,3,0.225,1,0.1298
graphs/ER-1000.adjlist,3,0.23,1,0.1415
graphs/ER-1000.adjlist,3,0.235,1,0.1514
graphs/ER-1000.adjlist,3,0.24,1,0.1623
graphs/ER-1000.adjlist,3,0.245,1,0.1743
graphs/ER-1000.adjlist,3,0.25,1,0.1831
graphs/ER-1000.adjlist,3,0.255,1,0.1923
graphs/ER-1000.adjlist,3,0.26,1,0.2019
graphs/ER-1000.adjlist,3,0.265,1,0.2081
graphs/ER-1000.adjlist,3,0.27,1,0.2183
graphs/ER-1000.adjlist,3,0.275,1,0.2253
graphs/ER-1000.adjlist,3,0.28,1,0.2316
graphs/ER-1000.adjlist,4,0.16,1,0.0
graphs/ER-1000.adjlist,4,0.165,1,0.0
graphs/ER-1000.adjlist,4,0.17,1,0.0006
graphs/ER-1000.adjlist,4,0.175,1,0.0022
graphs/ER-1000.adjlist,4,0.18,1,0.0074
graphs/ER-1000.adjlist,4,0.185,1,0.0269
graphs/ER-1000.adjlist,4,0.19,1,0.0491
graphs/ER-1000.adjlist,4,0.195,1,0.0665
graphs/ER-1000.adjlist,4,0.2,1,0.0813
graphs/ER-1000.adjlist,4,0.205,1,0.0971
graphs/ER-1000.adjlist,4,0.21,1,0.1085
graphs/ER-1000.adjlist,4,0.215,1,0.1213
graphs/ER-1000.adjlist,4,0.22,1,0.1353
graphs/ER-1000.adjlist,4,0.225,1,0.1439
graphs/ER-1000.adjlist,4,0.23,1,0.1588
graphs/ER-1000.adjlist,4,0.235,1,0.1661
graphs/ER-1000.adjlist,4,0.24,1,0.1794
graphs/ER-1000.adjlist,4,0.245,1,0.1857
graphs/ER-1000.adjlist,4,0.25,1,0.1969
graphs/ER-1000.adjlist,4,0.255,1,0.2036
graphs/ER-1000.adjlist,4,0.26,1,0.2137
graphs/ER-1000.adjlist,4,0.265,1,0.2205
graphs/ER-1000.adjlist,4,0.27,1,0.2318
graphs/ER-1000.adjlist,4,0.275,1,0.2382
graphs/ER-1000.adjlist,4,0.28,1,0.2433
graphs/ER-1000.adjlist,5,0.16,1,0.0
graphs/ER-1000.adjlist,5,0.165,1,0.0001
graphs/ER-1000.adjlist,5,0.17,1,0.0024
graphs/ER-1000.adjlist,5,0.175,1,0.0083
graphs/ER-1000.adjlist,5,0.18,1,0.0287
graphs/ER-1000.adjlist,5,0.185,1,0.0481
graphs/ER-1000.adjlist,5,0.19,1,0.0689
graphs/ER-1000.adjlist,5,0.195,1,0.0837
graphs/ER-1000.adjlist,5,0.2,1,0.0986
graphs/ER-1000.adjlist,5,0.205,1,0.1107
graphs/ER-1000.adjlist,5,0.21,1,0.1254
graphs/ER-1000.adjlist,5,0.215,1,0.1375
graphs/ER-1000.adjlist,5,0.22,1,0.1464
graphs/ER-1000.adjlist,5,0.225,1,0.1586
graphs/ER-1000.adjlist,5,0.23,1,0.1697
graphs/ER-1000.adjlist,5,0.235,1,0.1801
graphs/ER-1000.adjlist,5,0.24,1,0.1884
graphs/ER-1000.adjlist,5,0.245,1,0.2011
graphs/ER-1000.adjlist,5,0.25,1,0.2087
graphs/ER-1000.adjlist,5,0.255,1,0.217
graphs/ER-1000.adjlist,5,0.26,1,0.2245
graphs/ER-1000.adjlist,5,0.265,1,0.2349
graphs/ER-1000.adjlist,5,0.27,1,0.2405
graphs/ER-1000.adjlist,5,0.275,1,0.2479
graphs/ER-1000.adjlist,5,0.28,1,0.2566
graphs/ER-1000.adjlist,6,0.16,1,0.0002
graphs/ER-1000.adjlist,6,0.165,1,0.002
graphs/ER-1000.adjlist,6,0.17,1,0.0087
graphs/ER-1000.adjlist,6,0.175,1,0.0245
graphs/ER-1000.adjlist,6,0.18,1,0.05
graphs/ER-1000.adjlist,6,0.185,1,0.0685
graphs/ER-1000.adjlist,6,0.19,1,0.0876
graphs/ER-1000.adjlist,6,0.195,1,0.0976
graphs/ER-1000.adjlist,6,0.2,1,0.1131
graphs/ER-1000.adjlist,6,0.205,1,0.1255
graphs/ER-1000.adjlist,6,0.21,1,0.1386
graphs/ER-1000.adjlist,6,0.215,1,0.151
graphs/ER-1000.adjlist,6,0.22,1,0.1629
graphs/ER-1000.adjlist,6,0.225,1,0.171
graphs/ER-1000.adjlist,6,0.23,1,0.1827
graphs/ER-1000.adjlist,6,0.235,1,0.1931
graphs/ER-1000.adjlist,6,0.24,1,0.2022
graphs/ER-1000.adjlist,6,0.245,1,0.2111
graphs/ER-1000.adjlist,6,0.25,1,0.219
graphs/ER-1000.adjlist,6,0.255,1,0.2292
graphs/ER-1000.adjlist,6,0.26,1,0.2363
graphs/ER-1000.adjlist,6,0.265,1,0.244
graphs/ER-1000.adjlist,6,0.27,1,0.2504
graphs/ER-1000.adjlist,6,0.275,1,0.2577
graphs/ER-1000.adjlist,6,0.28,1,0.2649
graphs/ER-1000.adjlist,7,0.16,1,0.0007
graphs/ER-1000.adjlist,7,0.165,1,0.0059
graphs/ER-1000.adjlist,7,0.17,1,0.0254
graphs/ER-1000.adjlist,7,0.175,1,0.0475
graphs/ER-1000.adjlist,7,0.18,1,0.0719
graphs/ER-1000.adjlist,7,0.185,1,0.0854
graphs/ER-1000.adjlist,7,0.19,1,0.0981
graphs/ER-1000.adjlist,7,0.195,1,0.1117
graphs/ER-1000.adjlist,7,0.2,1,0.1265
graphs/ER-1000.adjlist,7,0.205,1,0.1388
graphs/ER-1000.adjlist,7,0.21,1,0.1511
graphs/ER-1000.adjlist,7,0.215,1,0.1615
graphs/ER-1000.adjlist,7,0.22,1,0.1727
graphs/ER-1000.adjlist,7,0.225,1,0.1842
graphs/ER-1000.adjlist,7,0.23,1,0.1955
graphs/ER-1000.adjlist,7,0.235,1,0.2023
graphs/ER-1000.adjlist,7,0.24,1,0.2136
graphs/ER-1000.adjlist,7,0.245,1,0.2232
graphs/ER-1000.adjlist,7,0.25,1,0.2295
graphs/ER-1000.adjlist,7,0.255,1,0.2386
graphs/ER-1000.adjlist,7,0.26,1,0.2468
graphs/ER-1000.adjlist,7,0.265,1,0.2534
graphs/ER-1000.adjlist,7,0.27,1,0.259
graphs/ER-1000.adjlist,7,0.275,1,0.267
graphs/ER-1000.adjlist,7,0.28,1,0.2747
graphs/ER-1000.adjlist,8,0.16,1,0.0054
graphs/ER-1000.adjlist,8,0.165,1,0.0205
graphs/ER-1000.adjlist,8,0.17,1,0.0461
graphs/ER-1000.adjlist,8,0.175,1,0.0681
graphs/ER-1000.adjlist,8,0.18,1,0.0827
graphs/ER-1000.adjlist,8,0.185,1,0.0995
graphs/ER-1000.adjlist,8,0.19,1,0.115
graphs/ER-1000.adjlist,8,0.195,1,0.1272
graphs/ER-1000.adjlist,8,0.2,1,0.1397
graphs/ER-1000.adjlist,8,0.205,1,0.1492
graphs/ER-1000.adjlist,8,0.21,1,0.1653
graphs/ER-1000.adjlist,8,0.215,1,0.1765
graphs/ER-1000.adjlist,8,0.22,1,0.1845
graphs/ER-1000.adjlist,8,0.225,1,0.195
graphs/ER-1000.adjlist,8,0.23,1,0.2051
graphs/ER-1000.adjlist,8,0.235,1,0.2144
graphs/ER-1000.adjlist,8,0.24,1,0.223
graphs/ER-1000.adjlist,8,0.245,1,0.2314
graphs/ER-1000.adjlist,8,0.25,1,0.2396
graphs/ER-1000.adjlist,8,0.255,1,0.2459
graphs/ER-1000.adjlist,8,0.26,1,0.2546
