Network,m,beta,mu,SteadyState
graphs/BA-1000.adjlist,0,0.09,1,0.0
graphs/BA-1000.adjlist,0,0.095,1,0.0
graphs/BA-1000.adjlist,0,0.1,1,0.0
graphs/BA-1000.adjlist,0,0.105,1,0.0
graphs/BA-1000.adjlist,0,0.11,1,0.0
graphs/BA-1000.adjlist,0,0.115,1,0.0001
graphs/BA-1000.adjlist,0,0.12,1,0.0002
graphs/BA-1000.adjlist,0,0.125,1,0.0014
graphs/BA-1000.adjlist,0,0.13,1,0.0038
graphs/BA-1000.adjlist,0,0.135,1,0.0073
graphs/BA-1000.adjlist,0,0.14,1,0.0158
graphs/BA-1000.adjlist,0,0.145,1,0.0265
graphs/BA-1000.adjlist,1,0.09,1,0.0
graphs/BA-1000.adjlist,1,0.095,1,0.0
graphs/BA-1000.adjlist,1,0.1,1,0.0
graphs/BA-1000.adjlist,1,0.105,1,0.0
graphs/BA-1000.adjlist,1,0.11,1,0.0
graphs/BA-1000.adjlist,1,0.115,1,0.0
graphs/BA-1000.adjlist,1,0.12,1,0.0002
graphs/BA-1000.adjlist,1,0.125,1,0.0016
graphs/BA-1000.adjlist,1,0.13,1,0.0055
graphs/BA-1000.adjlist,1,0.135,1,0.0119
graphs/BA-1000.adjlist,1,0.14,1,0.024
graphs/BA-1000.adjlist,1,0.145,1,0.0312
graphs/BA-1000.adjlist,2,0.09,1,0.0
graphs/BA-1000.adjlist,2,0.095,1,0.0
graphs/BA-1000.adjlist,2,0.1,1,0.0
graphs/BA-1000.adjlist,2,0.105,1,0.0
graphs/BA-1000.adjlist,2,0.11,1,0.0
graphs/BA-1000.adjlist,2,0.115,1,0.0
graphs/BA-1000.adjlist,2,0.12,1,0.0005
graphs/BA-1000.adjlist,2,0.125,1,0.0051
graphs/BA-1000.adjlist,2,0.13,1,0.0076
graphs/BA-1000.adjlist,2,0.135,1,0.0156
graphs/BA-1000.adjlist,2,0.14,1,0.0284
graphs/BA-1000.adjlist,2,0.145,1,0.0336
graphs/BA-1000.adjlist,3,0.09,1,0.0
graphs/BA-1000.adjlist,3,0.095,1,0.0
graphs/BA-1000.adjlist,3,0.1,1,0.0
graphs/BA-1000.adjlist,3,0.105,1,0.0
graphs/BA-1000.adjlist,3,0.11,1,0.0
graphs/BA-1000.adjlist,3,0.115,1,0.0002
graphs/BA-1000.adjlist,3,0.12,1,0.0007
graphs/BA-1000.adjlist,3,0.125,1,0.0048
graphs/BA-1000.adjlist,3,0.13,1,0.0108
graphs/BA-1000.adjlist,3,0.135,1,0.0216
graphs/BA-1000.adjlist,3,0.14,1,0.032
graphs/BA-1000.adjlist,3,0.145,1,0.0427
graphs/BA-1000.adjlist,4,0.09,1,0.0
graphs/BA-1000.adjlist,4,0.095,1,0.0
graphs/BA-1000.adjlist,4,0.1,1,0.0
graphs/BA-1000.adjlist,4,0.105,1,0.0
graphs/BA-1000.adjlist,4,0.11,1,0.0
graphs/BA-1000.adjlist,4,0.115,1,0.0002
graphs/BA-1000.adjlist,4,0.12,1,0.0028
graphs/BA-1000.adjlist,4,0.125,1,0.0062
graphs/BA-1000.adjlist,4,0.13,1,0.0149
graphs/BA-1000.adjlist,4,0.135,1,0.0209
graphs/BA-1000.adjlist,4,0.14,1,0.0359
graphs/BA-1000.adjlist,4,0.145,1,0.0442
graphs/BA-1000.adjlist,5,0.09,1,0.0
graphs/BA-1000.adjlist,5,0.095,1,0.0
graphs/BA-1000.adjlist,5,0.1,1,0.0
graphs/BA-1000.adjlist,5,0.105,1,0.0
graphs/BA-1000.adjlist,5,0.11,1,0.0001
graphs/BA-1000.adjlist,5,0.115,1,0.0003
graphs/BA-1000.adjlist,5,0.12,1,0.003
graphs/BA-1000.adjlist,5,0.125,1,0.0079
graphs/BA-1000.adjlist,5,0.13,1,0.0198
graphs/BA-1000.adjlist,5,0.135,1,0.0342
graphs/BA-1000.adjlist,5,0.14,1,0.0358
graphs/BA-1000.adjlist,5,0.145,1,0.0508
graphs/BA-1000.adjlist,6,0.09,1,0.0
graphs/BA-1000.adjlist,6,0.095,1,0.0
graphs/BA-1000.adjlist,6,0.1,1,0.0
graphs/BA-1000.adjlist,6,0.105,1,0.0
graphs/BA-1000.adjlist,6,0.11,1,0.0001
graphs/BA-1000.adjlist,6,0.115,1,0.001
graphs/BA-1000.adjlist,6,0.12,1,0.0039
graphs/BA-1000.adjlist,6,0.125,1,0.0131
graphs/BA-1000.adjlist,6,0.13,1,0.0236
graphs/BA-1000.adjlist,6,0.135,1,0.0339
graphs/BA-1000.adjlist,6,0.14,1,0.0449
graphs/BA-1000.adjlist,6,0.145,1,0.0503
graphs/BA-1000.adjlist,7,0.09,1,0.0
graphs/BA-1000.adjlist,7,0.095,1,0.0
graphs/BA-1000.adjlist,7,0.1,1,0.0
graphs/BA-1000.adjlist,7,0.105,1,0.0
graphs/BA-1000.adjlist,7,0.11,1,0.0001
graphs/BA-1000.adjlist,7,0.115,1,0.0017
graphs/BA-1000.adjlist,7,0.12,1,0.0052
graphs/BA-1000.adjlist,7,0.125,1,0.0193
graphs/BA-1000.adjlist,7,0.13,1,0.0295
graphs/BA-1000.adjlist,7,0.135,1,0.0363
graphs/BA-1000.adjlist,7,0.14,1,0.0563
graphs/BA-1000.adjlist,7,0.145,1,0.0645
graphs/BA-1000.adjlist,8,0.09,1,0.0
graphs/BA-1000.adjlist,8,0.095,1,0.0
graphs/BA-1000.adjlist,8,0.1,1,0.0
graphs/BA-1000.adjlist,8,0.105,1,0.0
graphs/BA-1000.adjlist,8,0.11,1,0.0005
graphs/BA-1000.adjlist,8,0.115,1,0.0023
graphs/BA-1000.adjlist,8,0.12,1,0.0091
graphs/BA-1000.adjlist,8,0.125,1,0.0236
graphs/BA-1000.adjlist,8,0.13,1,0.0342
graphs/BA-1000.adjlist,8,0.135,1,0.0481
graphs/BA-1000.adjlist,8,0.14,1,0.0552
graphs/BA-1000.adjlist,8,0.145,1,0.0658
graphs/BA-1000.adjlist,9,0.09,1,0.0
graphs/BA-1000.adjlist,9,0.095,1,0.0
graphs/BA-1000.adjlist,9,0.1,1,0.0
graphs/BA-1000.adjlist,9,0.105,1,0.0006
graphs/BA-1000.adjlist,9,0.11,1,0.0007
graphs/BA-1000.adjlist,9,0.115,1,0.0049
graphs/BA-1000.adjlist,9,0.12,1,0.0124
graphs/BA-1000.adjlist,9,0.125,1,0.0275
graphs/BA-1000.adjlist,9,0.13,1,0.0427
graphs/BA-1000.adjlist,9,0.135,1,0.0488
graphs/BA-1000.adjlist,9,0.14,1,0.0629
graphs/BA-1000.adjlist,9,0.145,1,0.0763
graphs/BA-1000.adjlist,10,0.09,1,0.0
graphs/BA-1000.adjlist,10,0.095,1,0.0
graphs/BA-1000.adjlist,10,0.1,1,0.0
graphs/BA-1000.adjlist,10,0.105,1,0.0003
graphs/BA-1000.adjlist,10,0.11,1,0.0012
