Network,m,beta,mu,SteadyState
../BA-1000,0,0.09,1,0.0
../BA-1000,0,0.095,1,0.0
../BA-1000,0,0.1,1,0.0
../BA-1000,0,0.105,1,0.0
../BA-1000,0,0.11,1,0.0
../BA-1000,0,0.115,1,0.0
../BA-1000,0,0.12,1,0.0016
../BA-1000,0,0.125,1,0.0055
../BA-1000,0,0.13,1,0.009
../BA-1000,0,0.135,1,0.0184
../BA-1000,0,0.14,1,0.0278
../BA-1000,1,0.09,1,0.0
../BA-1000,1,0.095,1,0.0
../BA-1000,1,0.1,1,0.0
../BA-1000,1,0.105,1,0.0
../BA-1000,1,0.11,1,0.0001
../BA-1000,1,0.115,1,0.0006
../BA-1000,1,0.12,1,0.0027
../BA-1000,1,0.125,1,0.0102
../BA-1000,1,0.13,1,0.0177
../BA-1000,1,0.135,1,0.0253
../BA-1000,1,0.14,1,0.0312
../BA-1000,2,0.09,1,0.0
../BA-1000,2,0.095,1,0.0
../BA-1000,2,0.1,1,0.0
../BA-1000,2,0.105,1,0.0
../BA-1000,2,0.11,1,0.0
../BA-1000,2,0.115,1,0.0014
../BA-1000,2,0.12,1,0.0058
../BA-1000,2,0.125,1,0.0142
../BA-1000,2,0.13,1,0.0232
../BA-1000,2,0.135,1,0.031
../BA-1000,2,0.14,1,0.0338
../BA-1000,3,0.09,1,0.0
../BA-1000,3,0.095,1,0.0
../BA-1000,3,0.1,1,0.0
../BA-1000,3,0.105,1,0.0
../BA-1000,3,0.11,1,0.0004
../BA-1000,3,0.115,1,0.0019
../BA-1000,3,0.12,1,0.0069
../BA-1000,3,0.125,1,0.0165
../BA-1000,3,0.13,1,0.0207
../BA-1000,3,0.135,1,0.0331
../BA-1000,3,0.14,1,0.0364
../BA-1000,4,0.09,1,0.0
../BA-1000,4,0.095,1,0.0
../BA-1000,4,0.1,1,0.0
../BA-1000,4,0.105,1,0.0
../BA-1000,4,0.11,1,0.0004
../BA-1000,4,0.115,1,0.0016
../BA-1000,4,0.12,1,0.0092
../BA-1000,4,0.125,1,0.014
../BA-1000,4,0.13,1,0.0208
../BA-1000,4,0.135,1,0.0321
../BA-1000,4,0.14,1,0.0471
../BA-1000,5,0.09,1,0.0
../BA-1000,5,0.095,1,0.0
../BA-1000,5,0.1,1,0.0
../BA-1000,5,0.105,1,0.0
../BA-1000,5,0.11,1,0.0004
../BA-1000,5,0.115,1,0.0016
../BA-1000,5,0.12,1,0.0118
../BA-1000,5,0.125,1,0.0211
../BA-1000,5,0.13,1,0.0321
../BA-1000,5,0.135,1,0.0336
../BA-1000,5,0.14,1,0.0448
../BA-1000,6,0.09,1,0.0
../BA-1000,6,0.095,1,0.0
../BA-1000,6,0.1,1,0.0
../BA-1000,6,0.105,1,0.0
../BA-1000,6,0.11,1,0.001
../BA-1000,6,0.115,1,0.0049
../BA-1000,6,0.12,1,0.0141
../BA-1000,6,0.125,1,0.0241
../BA-1000,6,0.13,1,0.0305
../BA-1000,6,0.135,1,0.0383
../BA-1000,6,0.14,1,0.0476
../BA-1000,7,0.09,1,0.0
../BA-1000,7,0.095,1,0.0
../BA-1000,7,0.1,1,0.0
../BA-1000,7,0.105,1,0.0
../BA-1000,7,0.11,1,0.0016
../BA-1000,7,0.115,1,0.0043
../BA-1000,7,0.12,1,0.0201
../BA-1000,7,0.125,1,0.0289
../BA-1000,7,0.13,1,0.038
../BA-1000,7,0.135,1,0.0567
../BA-1000,7,0.14,1,0.0538
../BA-1000,8,0.09,1,0.0
../BA-1000,8,0.095,1,0.0
../BA-1000,8,0.1,1,0.0
../BA-1000,8,0.105,1,0.0012
../BA-1000,8,0.11,1,0.002
../BA-1000,8,0.115,1,0.0067
../BA-1000,8,0.12,1,0.0225
../BA-1000,8,0.125,1,0.0287
../BA-1000,8,0.13,1,0.0425
../BA-1000,8,0.135,1,0.0527
../BA-1000,8,0.14,1,0.062
../BA-1000,9,0.09,1,0.0
../BA-1000,9,0.095,1,0.0
../BA-1000,9,0.1,1,0.0002
../BA-1000,9,0.105,1,0.0004
../BA-1000,9,0.11,1,0.0008
../BA-1000,9,0.115,1,0.0127
../BA-1000,9,0.12,1,0.0258
../BA-1000,9,0.125,1,0.032
../BA-1000,9,0.13,1,0.0539
../BA-1000,9,0.135,1,0.0593
../BA-1000,9,0.14,1,0.0699
../BA-1000,10,0.09,1,0.0
../BA-1000,10,0.095,1,0.0
../BA-1000,10,0.1,1,0.0006
../BA-1000,10,0.105,1,0.0015
../BA-1000,10,0.11,1,0.0068
../BA-1000,10,0.115,1,0.0193
../BA-1000,10,0.12,1,0.0325
../BA-1000,10,0.125,1,0.0379
../BA-1000,10,0.13,1,0.052
../BA-1000,10,0.135,1,0.0651
../BA-1000,10,0.14,1,0.0773
../BA-1000,11,0.09,1,0.0
../BA-1000,11,0.095,1,0.0
../BA-1000,11,0.1,1,0.0003
../BA-1000,11,0.105,1,0.0035
../BA-1000,11,0.11,1,0.0094
../BA-1000,11,0.115,1,0.017
../BA-1000,11,0.12,1,0.0365
../BA-1000,11,0.125,1,0.0425
../BA-1000,11,0.13,1,0.0612
../BA-1000,11,0.135,1,0.0676
../BA-1000,11,0.14,1,0.0815
../BA-1000,12,0.09,1,0.0
../BA-1000,12,0.095,1,0.0
../BA-1000,12,0.1,1,0.0008
../BA-1000,12,0.105,1,0.0044
../BA-1000,12,0.11,1,0.0151
../BA-1000,12,0.115,1,0.0265
../BA-1000,12,0.12,1,0.034
../BA-1000,12,0.125,1,0.0467
../BA-1000,12,0.13,1,0.0637
../BA-1000,12,0.135,1,0.0736
../BA-1000,12,0.14,1,0.0876
../BA-1000,13,0.09,1,0.0
../BA-1000,13,0.095,1,0.0
../BA-1000,13,0.1,1,0.0008
../BA-1000,13,0.105,1,0.0065
../BA-1000,13,0.11,1,0.0136
../BA-1000,13,0.115,1,0.0292
../BA-1000,13,0.12,1,0.0424
../BA-1000,13,0.125,1,0.0544
../BA-1000,13,0.13,1,0.066
../BA-1000,13,0.135,1,0.0722
../BA-1000,13,0.14,1,0.0844
../BA-1000,14,0.09,1,0.0
../BA-1000,14,0.095,1,0.0005
../BA-1000,14,0.1,1,0.0016
../BA-1000,14,0.105,1,0.0061
../BA-1000,14,0.11,1,0.0218
../BA-1000,14,0.115,1,0.0315
../BA-1000,14,0.12,1,0.0455
../BA-1000,14,0.125,1,0.0617
../BA-1000,14,0.13,1,0.0745
../BA-1000,14,0.135,1,0.0874
../BA-1000,14,0.14,1,0.0854
../BA-1000,15,0.09,1,0.0001
../BA-1000,15,0.095,1,0.0
../BA-1000,15,0.1,1,0.004
../BA-1000,15,0.105,1,0.0083
../BA-1000,15,0.11,1,0.0228
../BA-1000,15,0.115,1,0.0373
../BA-1000,15,0.12,1,0.0524
../BA-1000,15,0.125,1,0.0649
../BA-1000,15,0.13,1,0.0846
../BA-1000,15,0.135,1,0.0878
../BA-1000,15,0.14,1,0.1025
../BA-1000,0,0.145,1,0.0373
../BA-1000,0,0.15,1,0.0441
../BA-1000,0,0.155,1,0.0411
../BA-1000,0,0.16,1,0.055
../BA-1000,0,0.165,1,0.0635
../BA-1000,0,0.17,1,0.0733
../BA-1000,0,0.175,1,0.083
../BA-1000,0,0.18,1,0.0806
../BA-1000,0,0.185,1,0.087
../BA-1000,0,0.19,1,0.0994
../BA-1000,0,0.195,1,0.0997
../BA-1000,0,0.2,1,0.1149
../BA-1000,1,0.145,1,0.0374
../BA-1000,1,0.15,1,0.0484
../BA-1000,1,0.155,1,0.0554
../BA-1000,1,0.16,1,0.0612
../BA-1000,1,0.165,1,0.0615
../BA-1000,1,0.17,1,0.0729
../BA-1000,1,0.175,1,0.0752
../BA-1000,1,0.18,1,0.0937
../BA-1000,1,0.185,1,0.0868
../BA-1000,1,0.19,1,0.104
../BA-1000,1,0.195,1,0.1064
../BA-1000,1,0.2,1,0.1178
../BA-1000,2,0.145,1,0.0442
../BA-1000,2,0.15,1,0.0503
../BA-1000,2,0.155,1,0.0575
../BA-1000,2,0.16,1,0.0615
../BA-1000,2,0.165,1,0.0783
../BA-1000,2,0.17,1,0.0758
../BA-1000,2,0.175,1,0.0856
../BA-1000,2,0.18,1,0.0952
../BA-1000,2,0.185,1,0.0959
../BA-1000,2,0.19,1,0.1076
../BA-1000,2,0.195,1,0.1128
../BA-1000,2,0.2,1,0.1203
../BA-1000,3,0.145,1,0.0521
../BA-1000,3,0.15,1,0.0606
../BA-1000,3,0.155,1,0.0713
../BA-1000,3,0.16,1,0.0722
../BA-1000,3,0.165,1,0.0784
../BA-1000,3,0.17,1,0.084
../BA-1000,3,0.175,1,0.0931
../BA-1000,3,0.18,1,0.1035
../BA-1000,3,0.185,1,0.1147
../BA-1000,3,0.19,1,0.1152
../BA-1000,3,0.195,1,0.1282
../BA-1000,3,0.2,1,0.1284
../BA-1000,4,0.145,1,0.0464
../BA-1000,4,0.15,1,0.0629
../BA-1000,4,0.155,1,0.0647
../BA-1000,4,0.16,1,0.0694
../BA-1000,4,0.165,1,0.0842
../BA-1000,4,0.17,1,0.0846
../BA-1000,4,0.175,1,0.1021
../BA-1000,4,0.18,1,0.111
../BA-1000,4,0.185,1,0.103
../BA-1000,4,0.19,1,0.1252
../BA-1000,4,0.195,1,0.1384
../BA-1000,4,0.2,1,0.1392
../BA-1000,5,0.145,1,0.0609
../BA-1000,5,0.15,1,0.0667
../BA-1000,5,0.155,1,0.0792
../BA-1000,5,0.16,1,0.082
../BA-1000,5,0.165,1,0.086
../BA-1000,5,0.17,1,0.0952
../BA-1000,5,0.175,1,0.1018
../BA-1000,5,0.18,1,0.122
../BA-1000,5,0.185,1,0.1291
../BA-1000,5,0.19,1,0.1366
../BA-1000,5,0.195,1,0.1389
../BA-1000,5,0.2,1,0.1523
../BA-1000,6,0.145,1,0.0604
../BA-1000,6,0.15,1,0.0741
../BA-1000,6,0.155,1,0.082
../BA-1000,6,0.16,1,0.0813
../BA-1000,6,0.165,1,0.0924
../BA-1000,6,0.17,1,0.108
../BA-1000,6,0.175,1,0.1171
../BA-1000,6,0.18,1,0.1234
../BA-1000,6,0.185,1,0.1343
../BA-1000,6,0.19,1,0.1419
../BA-1000,6,0.195,1,0.1492
../BA-1000,6,0.2,1,0.1582
../BA-1000,7,0.145,1,0.067
../BA-1000,7,0.15,1,0.0757
../BA-1000,7,0.155,1,0.0791
../BA-1000,7,0.16,1,0.0988
../BA-1000,7,0.165,1,0.1013
../BA-1000,7,0.17,1,0.1167
../BA-1000,7,0.175,1,0.1191
../BA-1000,7,0.18,1,0.1288
../BA-1000,7,0.185,1,0.1393
../BA-1000,7,0.19,1,0.1421
../BA-1000,7,0.195,1,0.1561
../BA-1000,7,0.2,1,0.1611
../BA-1000,8,0.145,1,0.0718
../BA-1000,8,0.15,1,0.0791
../BA-1000,8,0.155,1,0.0964
../BA-1000,8,0.16,1,0.1058
../BA-1000,8,0.165,1,0.1017
../BA-1000,8,0.17,1,0.1207
../BA-1000,8,0.175,1,0.1247
../BA-1000,8,0.18,1,0.1345
../BA-1000,8,0.185,1,0.1467
../BA-1000,8,0.19,1,0.1489
../BA-1000,8,0.195,1,0.1615
../BA-1000,8,0.2,1,0.169
../BA-1000,9,0.145,1,0.0829
../BA-1000,9,0.15,1,0.0903
../BA-1000,9,0.155,1,0.0962
../BA-1000,9,0.16,1,0.1107
../BA-1000,9,0.165,1,0.1164
