Network,m,beta,mu,SteadyState
graphs/ER-1000.adjlist,0,0.14,1,0.0
graphs/ER-1000.adjlist,0,0.145,1,0.0
graphs/ER-1000.adjlist,0,0.15,1,0.0
graphs/ER-1000.adjlist,0,0.155,1,0.0
graphs/ER-1000.adjlist,0,0.16,1,0.0001
graphs/ER-1000.adjlist,0,0.165,1,0.0006
graphs/ER-1000.adjlist,0,0.17,1,0.0051
graphs/ER-1000.adjlist,0,0.175,1,0.0196
graphs/ER-1000.adjlist,0,0.18,1,0.042
graphs/ER-1000.adjlist,0,0.185,1,0.0573
graphs/ER-1000.adjlist,0,0.19,1,0.0768
graphs/ER-1000.adjlist,0,0.195,1,0.0958
graphs/ER-1000.adjlist,1,0.14,1,0.0
graphs/ER-1000.adjlist,1,0.145,1,0.0
graphs/ER-1000.adjlist,1,0.15,1,0.0
graphs/ER-1000.adjlist,1,0.155,1,0.0001
graphs/ER-1000.adjlist,1,0.16,1,0.0001
graphs/ER-1000.adjlist,1,0.165,1,0.0029
graphs/ER-1000.adjlist,1,0.17,1,0.0135
graphs/ER-1000.adjlist,1,0.175,1,0.0359
graphs/ER-1000.adjlist,1,0.18,1,0.0569
graphs/ER-1000.adjlist,1,0.185,1,0.079
graphs/ER-1000.adjlist,1,0.19,1,0.0902
graphs/ER-1000.adjlist,1,0.195,1,0.1128
graphs/ER-1000.adjlist,2,0.14,1,0.0
graphs/ER-1000.adjlist,2,0.145,1,0.0
graphs/ER-1000.adjlist,2,0.15,1,0.0
graphs/ER-1000.adjlist,2,0.155,1,0.0006
graphs/ER-1000.adjlist,2,0.16,1,0.0023
graphs/ER-1000.adjlist,2,0.165,1,0.0163
graphs/ER-1000.adjlist,2,0.17,1,0.039
graphs/ER-1000.adjlist,2,0.175,1,0.0534
graphs/ER-1000.adjlist,2,0.18,1,0.0743
graphs/ER-1000.adjlist,2,0.185,1,0.0922
graphs/ER-1000.adjlist,2,0.19,1,0.1132
graphs/ER-1000.adjlist,2,0.195,1,0.1249
graphs/ER-1000.adjlist,3,0.14,1,0.0
graphs/ER-1000.adjlist,3,0.145,1,0.0
graphs/ER-1000.adjlist,3,0.15,1,0.0004
graphs/ER-1000.adjlist,3,0.155,1,0.0017
graphs/ER-1000.adjlist,3,0.16,1,0.0128
graphs/ER-1000.adjlist,3,0.165,1,0.0335
graphs/ER-1000.adjlist,3,0.17,1,0.0579
graphs/ER-1000.adjlist,3,0.175,1,0.0764
graphs/ER-1000.adjlist,3,0.18,1,0.0956
graphs/ER-1000.adjlist,3,0.185,1,0.1084
graphs/ER-1000.adjlist,3,0.19,1,0.1248
graphs/ER-1000.adjlist,3,0.195,1,0.1423
graphs/ER-1000.adjlist,4,0.14,1,0.0
graphs/ER-1000.adjlist,4,0.145,1,0.0
graphs/ER-1000.adjlist,4,0.15,1,0.0008
graphs/ER-1000.adjlist,4,0.155,1,0.0081
graphs/ER-1000.adjlist,4,0.16,1,0.028
graphs/ER-1000.adjlist,4,0.165,1,0.0544
graphs/ER-1000.adjlist,4,0.17,1,0.0741
graphs/ER-1000.adjlist,4,0.175,1,0.0985
graphs/ER-1000.adjlist,4,0.18,1,0.1062
graphs/ER-1000.adjlist,4,0.185,1,0.1295
graphs/ER-1000.adjlist,4,0.19,1,0.141
graphs/ER-1000.adjlist,4,0.195,1,0.1533
graphs/ER-1000.adjlist,5,0.14,1,0.0
graphs/ER-1000.adjlist,5,0.145,1,0.0003
graphs/ER-1000.adjlist,5,0.15,1,0.0059
graphs/ER-1000.adjlist,5,0.155,1,0.0198
graphs/ER-1000.adjlist,5,0.16,1,0.0432
graphs/ER-1000.adjlist,5,0.165,1,0.074
graphs/ER-1000.adjlist,5,0.17,1,0.0896
graphs/ER-1000.adjlist,5,0.175,1,0.1065
graphs/ER-1000.adjlist,5,0.18,1,0.1242
graphs/ER-1000.adjlist,5,0.185,1,0.1387
graphs/ER-1000.adjlist,5,0.19,1,0.1529
graphs/ER-1000.adjlist,5,0.195,1,0.1668
graphs/ER-1000.adjlist,6,0.14,1,0.0003
graphs/ER-1000.adjlist,6,0.145,1,0.0035
graphs/ER-1000.adjlist,6,0.15,1,0.0192
graphs/ER-1000.adjlist,6,0.155,1,0.048
graphs/ER-1000.adjlist,6,0.16,1,0.0673
graphs/ER-1000.adjlist,6,0.165,1,0.085
graphs/ER-1000.adjlist,6,0.17,1,0.1067
graphs/ER-1000.adjlist,6,0.175,1,0.1216
graphs/ER-1000.adjlist,6,0.18,1,0.1394
graphs/ER-1000.adjlist,6,0.185,1,0.152
graphs/ER-1000.adjlist,6,0.19,1,0.1675
graphs/ER-1000.adjlist,6,0.195,1,0.1775
graphs/ER-1000.adjlist,7,0.14,1,0.001
graphs/ER-1000.adjlist,7,0.145,1,0.0109
graphs/ER-1000.adjlist,7,0.15,1,0.0357
graphs/ER-1000.adjlist,7,0.155,1,0.0627
graphs/ER-1000.adjlist,7,0.16,1,0.0804
graphs/ER-1000.adjlist,7,0.165,1,0.0991
graphs/ER-1000.adjlist,7,0.17,1,0.1165
graphs/ER-1000.adjlist,7,0.175,1,0.1362
graphs/ER-1000.adjlist,7,0.18,1,0.1477
graphs/ER-1000.adjlist,7,0.185,1,0.1672
graphs/ER-1000.adjlist,7,0.19,1,0.1749
graphs/ER-1000.adjlist,7,0.195,1,0.1865
graphs/ER-1000.adjlist,8,0.14,1,0.0052
graphs/ER-1000.adjlist,8,0.145,1,0.03
graphs/ER-1000.adjlist,8,0.15,1,0.0508
graphs/ER-1000.adjlist,8,0.155,1,0.0739
graphs/ER-1000.adjlist,8,0.16,1,0.0906
graphs/ER-1000.adjlist,8,0.165,1,0.1152
graphs/ER-1000.adjlist,8,0.17,1,0.1353
graphs/ER-1000.adjlist,8,0.175,1,0.1478
graphs/ER-1000.adjlist,8,0.18,1,0.1637
graphs/ER-1000.adjlist,8,0.185,1,0.1732
graphs/ER-1000.adjlist,8,0.19,1,0.1857
graphs/ER-1000.adjlist,8,0.195,1,0.1929
graphs/ER-1000.adjlist,9,0.14,1,0.0182
graphs/ER-1000.adjlist,9,0.145,1,0.0429
graphs/ER-1000.adjlist,9,0.15,1,0.0701
graphs/ER-1000.adjlist,9,0.155,1,0.0891
graphs/ER-1000.adjlist,9,0.16,1,0.1033
graphs/ER-1000.adjlist,9,0.165,1,0.1292
graphs/ER-1000.adjlist,9,0.17,1,0.1463
graphs/ER-1000.adjlist,9,0.175,1,0.1577
graphs/ER-1000.adjlist,9,0.18,1,0.1684
graphs/ER-1000.adjlist,9,0.185,1,0.1852
graphs/ER-1000.adjlist,9,0.19,1,0.1982
graphs/ER-1000.adjlist,9,0.195,1,0.207
graphs/ER-1000.adjlist,10,0.14,1,0.0354
graphs/ER-1000.adjlist,10,0.145,1,0.0576
graphs/ER-1000.adjlist,10,0.15,1,0.0793
graphs/ER-1000.adjlist,10,0.155,1,0.1049
graphs/ER-1000.adjlist,10,0.16,1,0.1227
graphs/ER-1000.adjlist,10,0.165,1,0.1418
graphs/ER-1000.adjlist,10,0.17,1,0.1522
graphs/ER-1000.adjlist,10,0.175,1,0.1664
graphs/ER-1000.adjlist,10,0.18,1,0.1823
graphs/ER-1000.adjlist,10,0.185,1,0.1974
graphs/ER-1000.adjlist,10,0.19,1,0.2064
graphs/ER-1000.adjlist,10,0.195,1,0.2188
graphs/ER-1000.adjlist,11,0.14,1,0.0464
graphs/ER-1000.adjlist,11,0.145,1,0.0812
graphs/ER-1000.adjlist,11,0.15,1,0.0997
graphs/ER-1000.adjlist,11,0.155,1,0.1096
graphs/ER-1000.adjlist,11,0.16,1,0.1324
graphs/ER-1000.adjlist,11,0.165,1,0.1495
graphs/ER-1000.adjlist,11,0.17,1,0.1659
graphs/ER-1000.adjlist,11,0.175,1,0.1766
graphs/ER-1000.adjlist,11,0.18,1,0.189
graphs/ER-1000.adjlist,11,0.185,1,0.2011
graphs/ER-1000.adjlist,11,0.19,1,0.2167
graphs/ER-1000.adjlist,11,0.195,1,0.2243
graphs/ER-1000.adjlist,12,0.14,1,0.0638
graphs/ER-1000.adjlist,12,0.145,1,0.0864
graphs/ER-1000.adjlist,12,0.15,1,0.1077
graphs/ER-1000.adjlist,12,0.155,1,0.1256
graphs/ER-1000.adjlist,12,0.16,1,0.1404
graphs/ER-1000.adjlist,12,0.165,1,0.162
graphs/ER-1000.adjlist,12,0.17,1,0.1747
graphs/ER-1000.adjlist,12,0.175,1,0.1895
graphs/ER-1000.adjlist,12,0.18,1,0.2008
graphs/ER-1000.adjlist,12,0.185,1,0.2105
graphs/ER-1000.adjlist,12,0.19,1,0.2208
graphs/ER-1000.adjlist,12,0.195,1,0.2324
graphs/ER-1000.adjlist,13,0.14,1,0.0817
graphs/ER-1000.adjlist,13,0.145,1,0.0917
graphs/ER-1000.adjlist,13,0.15,1,0.1251
graphs/ER-1000.adjlist,13,0.155,1,0.1404
graphs/ER-1000.adjlist,13,0.16,1,0.1532
graphs/ER-1000.adjlist,13,0.165,1,0.1688
graphs/ER-1000.adjlist,13,0.17,1,0.1841
graphs/ER-1000.adjlist,13,0.175,1,0.197
graphs/ER-1000.adjlist,13,0.18,1,0.2039
graphs/ER-1000.adjlist,13,0.185,1,0.2144
graphs/ER-1000.adjlist,13,0.19,1,0.2269
graphs/ER-1000.adjlist,13,0.195,1,0.2386
