Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,0,0.14,1,0.0
graphs/WS-1000.adjlist,0,0.145,1,0.0
graphs/WS-1000.adjlist,0,0.15,1,0.0
graphs/WS-1000.adjlist,0,0.155,1,0.0
graphs/WS-1000.adjlist,0,0.16,1,0.0
graphs/WS-1000.adjlist,0,0.165,1,0.0
graphs/WS-1000.adjlist,0,0.17,1,0.0
graphs/WS-1000.adjlist,0,0.175,1,0.0
graphs/WS-1000.adjlist,0,0.18,1,0.0
graphs/WS-1000.adjlist,0,0.185,1,0.0001
graphs/WS-1000.adjlist,0,0.19,1,0.0016
graphs/WS-1000.adjlist,0,0.195,1,0.0072
graphs/WS-1000.adjlist,1,0.14,1,0.0
graphs/WS-1000.adjlist,1,0.145,1,0.0
graphs/WS-1000.adjlist,1,0.15,1,0.0
graphs/WS-1000.adjlist,1,0.155,1,0.0
graphs/WS-1000.adjlist,1,0.16,1,0.0
graphs/WS-1000.adjlist,1,0.165,1,0.0
graphs/WS-1000.adjlist,1,0.17,1,0.0
graphs/WS-1000.adjlist,1,0.175,1,0.0001
graphs/WS-1000.adjlist,1,0.18,1,0.0022
graphs/WS-1000.adjlist,1,0.185,1,0.0061
graphs/WS-1000.adjlist,1,0.19,1,0.0324
graphs/WS-1000.adjlist,1,0.195,1,0.0615
graphs/WS-1000.adjlist,2,0.14,1,0.0
graphs/WS-1000.adjlist,2,0.145,1,0.0
graphs/WS-1000.adjlist,2,0.15,1,0.0
graphs/WS-1000.adjlist,2,0.155,1,0.0
graphs/WS-1000.adjlist,2,0.16,1,0.0
graphs/WS-1000.adjlist,2,0.165,1,0.0001
graphs/WS-1000.adjlist,2,0.17,1,0.0005
graphs/WS-1000.adjlist,2,0.175,1,0.005
graphs/WS-1000.adjlist,2,0.18,1,0.0304
graphs/WS-1000.adjlist,2,0.185,1,0.0604
graphs/WS-1000.adjlist,2,0.19,1,0.0866
graphs/WS-1000.adjlist,2,0.195,1,0.1124
graphs/WS-1000.adjlist,3,0.14,1,0.0
graphs/WS-1000.adjlist,3,0.145,1,0.0
graphs/WS-1000.adjlist,3,0.15,1,0.0
graphs/WS-1000.adjlist,3,0.155,1,0.0
graphs/WS-1000.adjlist,3,0.16,1,0.0003
graphs/WS-1000.adjlist,3,0.165,1,0.001
graphs/WS-1000.adjlist,3,0.17,1,0.0117
graphs/WS-1000.adjlist,3,0.175,1,0.0367
graphs/WS-1000.adjlist,3,0.18,1,0.0734
graphs/WS-1000.adjlist,3,0.185,1,0.0892
graphs/WS-1000.adjlist,3,0.19,1,0.1263
graphs/WS-1000.adjlist,3,0.195,1,0.1367
graphs/WS-1000.adjlist,4,0.14,1,0.0
graphs/WS-1000.adjlist,4,0.145,1,0.0
graphs/WS-1000.adjlist,4,0.15,1,0.0
graphs/WS-1000.adjlist,4,0.155,1,0.0001
graphs/WS-1000.adjlist,4,0.16,1,0.0033
graphs/WS-1000.adjlist,4,0.165,1,0.0208
graphs/WS-1000.adjlist,4,0.17,1,0.0397
graphs/WS-1000.adjlist,4,0.175,1,0.0817
graphs/WS-1000.adjlist,4,0.18,1,0.108
graphs/WS-1000.adjlist,4,0.185,1,0.1286
graphs/WS-1000.adjlist,4,0.19,1,0.1402
graphs/WS-1000.adjlist,4,0.195,1,0.1625
graphs/WS-1000.adjlist,5,0.14,1,0.0
graphs/WS-1000.adjlist,5,0.145,1,0.0001
graphs/WS-1000.adjlist,5,0.15,1,0.0007
graphs/WS-1000.adjlist,5,0.155,1,0.0051
graphs/WS-1000.adjlist,5,0.16,1,0.0266
graphs/WS-1000.adjlist,5,0.165,1,0.0521
graphs/WS-1000.adjlist,5,0.17,1,0.0807
graphs/WS-1000.adjlist,5,0.175,1,0.101
graphs/WS-1000.adjlist,5,0.18,1,0.1303
graphs/WS-1000.adjlist,5,0.185,1,0.1469
graphs/WS-1000.adjlist,5,0.19,1,0.1679
