Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,0,0.16,1,0.0
graphs/WS-1000.adjlist,0,0.165,1,0.0
graphs/WS-1000.adjlist,0,0.17,1,0.0
graphs/WS-1000.adjlist,0,0.175,1,0.0
graphs/WS-1000.adjlist,0,0.18,1,0.0
graphs/WS-1000.adjlist,0,0.185,1,0.0
graphs/WS-1000.adjlist,0,0.19,1,0.0
graphs/WS-1000.adjlist,0,0.195,1,0.0
graphs/WS-1000.adjlist,0,0.2,1,0.0
graphs/WS-1000.adjlist,0,0.205,1,0.0
graphs/WS-1000.adjlist,0,0.21,1,0.0
graphs/WS-1000.adjlist,0,0.215,1,0.0
graphs/WS-1000.adjlist,0,0.22,1,0.0
graphs/WS-1000.adjlist,0,0.225,1,0.0
graphs/WS-1000.adjlist,0,0.23,1,0.0
graphs/WS-1000.adjlist,0,0.235,1,0.0
graphs/WS-1000.adjlist,0,0.24,1,0.0
graphs/WS-1000.adjlist,0,0.245,1,0.0
graphs/WS-1000.adjlist,0,0.25,1,0.0
graphs/WS-1000.adjlist,0,0.255,1,0.0
graphs/WS-1000.adjlist,0,0.26,1,0.0
graphs/WS-1000.adjlist,0,0.265,1,0.0001
graphs/WS-1000.adjlist,0,0.27,1,0.0001
graphs/WS-1000.adjlist,0,0.275,1,0.0004
graphs/WS-1000.adjlist,0,0.28,1,0.0016
graphs/WS-1000.adjlist,0,0.285,1,0.0032
graphs/WS-1000.adjlist,0,0.29,1,0.011
graphs/WS-1000.adjlist,0,0.295,1,0.0237
graphs/WS-1000.adjlist,0,0.3,1,0.0411
graphs/WS-1000.adjlist,0,0.305,1,0.0634
graphs/WS-1000.adjlist,0,0.31,1,0.0858
graphs/WS-1000.adjlist,0,0.315,1,0.1029
graphs/WS-1000.adjlist,1,0.16,1,0.0
graphs/WS-1000.adjlist,1,0.165,1,0.0
graphs/WS-1000.adjlist,1,0.17,1,0.0
graphs/WS-1000.adjlist,1,0.175,1,0.0
graphs/WS-1000.adjlist,1,0.18,1,0.0
graphs/WS-1000.adjlist,1,0.185,1,0.0
graphs/WS-1000.adjlist,1,0.19,1,0.0
graphs/WS-1000.adjlist,1,0.195,1,0.0
graphs/WS-1000.adjlist,1,0.2,1,0.0
graphs/WS-1000.adjlist,1,0.205,1,0.0
graphs/WS-1000.adjlist,1,0.21,1,0.0
graphs/WS-1000.adjlist,1,0.215,1,0.0
graphs/WS-1000.adjlist,1,0.22,1,0.0
graphs/WS-1000.adjlist,1,0.225,1,0.0
graphs/WS-1000.adjlist,1,0.23,1,0.0
graphs/WS-1000.adjlist,1,0.235,1,0.0
graphs/WS-1000.adjlist,1,0.24,1,0.0
graphs/WS-1000.adjlist,1,0.245,1,0.0001
graphs/WS-1000.adjlist,1,0.25,1,0.0004
graphs/WS-1000.adjlist,1,0.255,1,0.0006
graphs/WS-1000.adjlist,1,0.26,1,0.0021
graphs/WS-1000.adjlist,1,0.265,1,0.0073
graphs/WS-1000.adjlist,1,0.27,1,0.0148
graphs/WS-1000.adjlist,1,0.275,1,0.035
graphs/WS-1000.adjlist,1,0.28,1,0.0592
graphs/WS-1000.adjlist,1,0.285,1,0.0765
graphs/WS-1000.adjlist,1,0.29,1,0.0961
graphs/WS-1000.adjlist,1,0.295,1,0.1124
graphs/WS-1000.adjlist,1,0.3,1,0.1316
graphs/WS-1000.adjlist,1,0.305,1,0.1457
graphs/WS-1000.adjlist,1,0.31,1,0.1579
graphs/WS-1000.adjlist,1,0.315,1,0.1741
graphs/WS-1000.adjlist,2,0.16,1,0.0
graphs/WS-1000.adjlist,2,0.165,1,0.0
graphs/WS-1000.adjlist,2,0.17,1,0.0
graphs/WS-1000.adjlist,2,0.175,1,0.0
graphs/WS-1000.adjlist,2,0.18,1,0.0
graphs/WS-1000.adjlist,2,0.185,1,0.0
graphs/WS-1000.adjlist,2,0.19,1,0.0
graphs/WS-1000.adjlist,2,0.195,1,0.0
graphs/WS-1000.adjlist,2,0.2,1,0.0
graphs/WS-1000.adjlist,2,0.205,1,0.0
graphs/WS-1000.adjlist,2,0.21,1,0.0
graphs/WS-1000.adjlist,2,0.215,1,0.0
graphs/WS-1000.adjlist,2,0.22,1,0.0
graphs/WS-1000.adjlist,2,0.225,1,0.0
graphs/WS-1000.adjlist,2,0.23,1,0.0001
graphs/WS-1000.adjlist,2,0.235,1,0.0001
graphs/WS-1000.adjlist,2,0.24,1,0.0008
graphs/WS-1000.adjlist,2,0.245,1,0.0024
graphs/WS-1000.adjlist,2,0.25,1,0.0101
graphs/WS-1000.adjlist,2,0.255,1,0.0232
graphs/WS-1000.adjlist,2,0.26,1,0.0479
graphs/WS-1000.adjlist,2,0.265,1,0.0689
graphs/WS-1000.adjlist,2,0.27,1,0.0878
graphs/WS-1000.adjlist,2,0.275,1,0.1053
graphs/WS-1000.adjlist,2,0.28,1,0.1199
graphs/WS-1000.adjlist,2,0.285,1,0.138
graphs/WS-1000.adjlist,2,0.29,1,0.1507
graphs/WS-1000.adjlist,2,0.295,1,0.1632
graphs/WS-1000.adjlist,2,0.3,1,0.1782
graphs/WS-1000.adjlist,2,0.305,1,0.1891
graphs/WS-1000.adjlist,2,0.31,1,0.1991
graphs/WS-1000.adjlist,2,0.315,1,0.2132
graphs/WS-1000.adjlist,3,0.16,1,0.0
graphs/WS-1000.adjlist,3,0.165,1,0.0
graphs/WS-1000.adjlist,3,0.17,1,0.0
graphs/WS-1000.adjlist,3,0.175,1,0.0
graphs/WS-1000.adjlist,3,0.18,1,0.0
graphs/WS-1000.adjlist,3,0.185,1,0.0
graphs/WS-1000.adjlist,3,0.19,1,0.0
graphs/WS-1000.adjlist,3,0.195,1,0.0
graphs/WS-1000.adjlist,3,0.2,1,0.0
graphs/WS-1000.adjlist,3,0.205,1,0.0
graphs/WS-1000.adjlist,3,0.21,1,0.0
