Network,m,beta,mu,SteadyState,steady_index:
BA-1000,0,0.115,1,0.001,27
BA-1000,1,0.115,1,0.0016,33
BA-1000,2,0.115,1,0.0022,39
BA-1000,3,0.115,1,0.003,47
BA-1000,4,0.115,1,0.0043,55
BA-1000,5,0.115,1,0.0,111
BA-1000,6,0.115,1,0.0,150
BA-1000,7,0.115,1,0.0,202
BA-1000,8,0.115,1,0.0,300
BA-1000,9,0.115,1,0.0,433
BA-1000,10,0.115,1,0.0,100
BA-1000,11,0.115,1,0.0,100
BA-1000,12,0.115,1,0.0,100
BA-1000,13,0.115,1,0.0432,0
BA-1000,14,0.115,1,0.0485,1
BA-1000,15,0.115,1,0.053,3
BA-1000,16,0.115,1,0.0588,5
BA-1000,17,0.115,1,0.0638,5
BA-1000,18,0.115,1,0.0686,6
BA-1000,19,0.115,1,0.0733,6
BA-1000,20,0.115,1,0.0781,7
