Network,m,beta,mu,SteadyState,steady_index:
WS-1000,0,0.21,1,0.0,6
WS-1000,1,0.21,1,0.0,7
WS-1000,2,0.21,1,0.0,10
WS-1000,3,0.21,1,0.0,14
WS-1000,4,0.21,1,0.0001,24
WS-1000,5,0.21,1,0.0021,48
WS-1000,6,0.21,1,0.0,483
WS-1000,7,0.21,1,0.0667,4
WS-1000,8,0.21,1,0.0953,14
WS-1000,9,0.21,1,0.1183,16
WS-1000,10,0.21,1,0.1376,15
WS-1000,11,0.21,1,0.1545,13
WS-1000,12,0.21,1,0.1701,12
WS-1000,13,0.21,1,0.1833,11
WS-1000,14,0.21,1,0.1943,10
WS-1000,15,0.21,1,0.2059,10
WS-1000,16,0.21,1,0.2154,9
WS-1000,17,0.21,1,0.2258,9
WS-1000,18,0.21,1,0.233,8
WS-1000,19,0.21,1,0.2411,8
WS-1000,20,0.21,1,0.2478,7
