Network,activity,m,beta,mu,SteadyState,steady_index:
BA-1000,0.0,5,0.13,1,0.0,485
BA-1000,0.005,5,0.13,1,0.0,499
BA-1000,0.01,5,0.13,1,0.0,100
BA-1000,0.015,5,0.13,1,0.0,100
BA-1000,0.02,5,0.13,1,0.0,100
BA-1000,0.025,5,0.13,1,0.0,100
BA-1000,0.03,5,0.13,1,0.0,100
BA-1000,0.035,5,0.13,1,0.0,100
BA-1000,0.04,5,0.13,1,0.0,100
BA-1000,0.045,5,0.13,1,0.0,100
BA-1000,0.05,5,0.13,1,0.0,100
BA-1000,0.055,5,0.13,1,0.0,100
BA-1000,0.06,5,0.13,1,0.0325,0
BA-1000,0.065,5,0.13,1,0.0331,0
BA-1000,0.07,5,0.13,1,0.0358,0
BA-1000,0.075,5,0.13,1,0.0365,0
BA-1000,0.08,5,0.13,1,0.0385,0
BA-1000,0.085,5,0.13,1,0.0391,1
BA-1000,0.09,5,0.13,1,0.0406,1
BA-1000,0.095,5,0.13,1,0.0424,1
BA-1000,0.1,5,0.13,1,0.0438,1
BA-1000,0.105,5,0.13,1,0.0446,1
BA-1000,0.11,5,0.13,1,0.0459,1
BA-1000,0.115,5,0.13,1,0.0474,3
BA-1000,0.12,5,0.13,1,0.0474,3
BA-1000,0.125,5,0.13,1,0.0496,3
BA-1000,0.13,5,0.13,1,0.0511,3
BA-1000,0.135,5,0.13,1,0.0514,3
BA-1000,0.14,5,0.13,1,0.053,4
BA-1000,0.145,5,0.13,1,0.0542,5
BA-1000,0.15,5,0.13,1,0.0553,5
BA-1000,0.155,5,0.13,1,0.0564,5
BA-1000,0.16,5,0.13,1,0.0568,5
BA-1000,0.165,5,0.13,1,0.0582,5
BA-1000,0.17,5,0.13,1,0.0597,5
BA-1000,0.175,5,0.13,1,0.0605,5
BA-1000,0.18,5,0.13,1,0.0615,5
BA-1000,0.185,5,0.13,1,0.0634,6
BA-1000,0.19,5,0.13,1,0.0639,5
BA-1000,0.195,5,0.13,1,0.0655,6
BA-1000,0.2,5,0.13,1,0.0663,6
