Network,activity,m,beta,mu,SteadyState,steady_index:
ER-1000,0,5,0.09,1,0.0004,29
ER-1000,0.005,5,0.09,1,0.0003,30
ER-1000,0.01,5,0.09,1,0.001,29
ER-1000,0.015,5,0.09,1,0.0004,36
ER-1000,0.02,5,0.09,1,0.002,36
ER-1000,0.025,5,0.09,1,0.0013,44
ER-1000,0.03,5,0.09,1,0.0016,45
ER-1000,0.035,5,0.09,1,0.0022,53
ER-1000,0.04,5,0.09,1,0.0025,51
ER-1000,0.045,5,0.09,1,0.0032,46
ER-1000,0.05,5,0.09,1,0.0048,59
ER-1000,0.055,5,0.09,1,0,105
ER-1000,0.06,5,0.09,1,0.0055,65
ER-1000,0.065,5,0.09,1,0,131
ER-1000,0.07,5,0.09,1,0,156
ER-1000,0.075,5,0.09,1,0,207
ER-1000,0.08,5,0.09,1,0,232
ER-1000,0.085,5,0.09,1,0,100
ER-1000,0.09,5,0.09,1,0,100
ER-1000,0.095,5,0.09,1,0.0245,38
ER-1000,0.1,5,0.09,1,0.0285,100
ER-1000,0.105,5,0.09,1,0.0317,29
ER-1000,0.11,5,0.09,1,0.0373,0
ER-1000,0.115,5,0.09,1,0.0387,0
ER-1000,0.12,5,0.09,1,0.0443,0
ER-1000,0.125,5,0.09,1,0.0473,0
ER-1000,0.13,5,0.09,1,0.0506,0
ER-1000,0.135,5,0.09,1,0.0534,0
ER-1000,0.14,5,0.09,1,0.058,2
ER-1000,0.145,5,0.09,1,0.0593,2
ER-1000,0.15,5,0.09,1,0.063,5
ER-1000,0.155,5,0.09,1,0.0644,5
ER-1000,0.16,5,0.09,1,0.0677,6
ER-1000,0.165,5,0.09,1,0.0712,8
ER-1000,0.17,5,0.09,1,0.0734,8
ER-1000,0.175,5,0.09,1,0.0746,8
ER-1000,0.18,5,0.09,1,0.0778,12
ER-1000,0.185,5,0.09,1,0.0806,13
ER-1000,0.19,5,0.09,1,0.0836,13
ER-1000,0.195,5,0.09,1,0.0842,13
ER-1000,0.2,5,0.09,1,0.0859,14
