Network,activity,m,beta,mu,SteadyState,steady_index:
WS-1000,0.0,5,0.2,1,0.0,5
WS-1000,0.005,5,0.2,1,0.0,5
WS-1000,0.01,5,0.2,1,0.0,5
WS-1000,0.015,5,0.2,1,0.0,6
WS-1000,0.02,5,0.2,1,0.0,6
WS-1000,0.025,5,0.2,1,0.0,6
WS-1000,0.03,5,0.2,1,0.0,7
WS-1000,0.035,5,0.2,1,0.0,7
WS-1000,0.04,5,0.2,1,0.0,7
WS-1000,0.045,5,0.2,1,0.0,8
WS-1000,0.05,5,0.2,1,0.0,9
WS-1000,0.055,5,0.2,1,0.0,9
WS-1000,0.06,5,0.2,1,0.0,11
WS-1000,0.065,5,0.2,1,0.0,11
WS-1000,0.07,5,0.2,1,0.0,12
WS-1000,0.075,5,0.2,1,0.0,12
WS-1000,0.08,5,0.2,1,0.0,15
WS-1000,0.085,5,0.2,1,0.0,17
WS-1000,0.09,5,0.2,1,0.0,16
WS-1000,0.095,5,0.2,1,0.0,21
WS-1000,0.1,5,0.2,1,0.0001,23
WS-1000,0.105,5,0.2,1,0.0002,27
WS-1000,0.11,5,0.2,1,0.0003,30
WS-1000,0.115,5,0.2,1,0.0008,38
WS-1000,0.12,5,0.2,1,0.0021,39
WS-1000,0.125,5,0.2,1,0.0029,56
WS-1000,0.13,5,0.2,1,0.0045,72
WS-1000,0.135,5,0.2,1,0.0,177
WS-1000,0.14,5,0.2,1,0.0,288
WS-1000,0.145,5,0.2,1,0.0,100
WS-1000,0.15,5,0.2,1,0.0,100
WS-1000,0.155,5,0.2,1,0.0525,0
WS-1000,0.16,5,0.2,1,0.0602,0
WS-1000,0.165,5,0.2,1,0.0686,7
WS-1000,0.17,5,0.2,1,0.0775,13
WS-1000,0.175,5,0.2,1,0.0838,15
WS-1000,0.18,5,0.2,1,0.0909,17
WS-1000,0.185,5,0.2,1,0.0967,13
WS-1000,0.19,5,0.2,1,0.1028,15
WS-1000,0.195,5,0.2,1,0.1066,14
WS-1000,0.2,5,0.2,1,0.1133,14
